run,timestep,particle_id,x,y,z
0,0,0,0.07111105520150485,2.618546873374678,3.0603325441088067
0,0,1,2.1086874171194014,0.2715472658461895,3.5250255237982513
0,0,2,1.5623553146144173,1.6429503226343933,1.1583903114341374
0,0,3,2.4189856140925308,2.3167683122337905,1.91041956567422
0,0,4,3.937182966086545,0.8635235176284182,1.7200957141472726
0,0,5,3.249391685278453,1.9107568454141495,3.3252800603173327
0,0,6,3.695816911638739,2.0885606714245593,1.8176737625830324
0,0,7,0.7559428102660646,2.8577091453923846,2.0106528810382307
0,0,8,2.1510363161933226,2.2457555957251283,2.6203305931346947
0,0,9,3.442407462041943,2.05656807597405,0.3879267813808318
0,0,10,3.56244006134494,2.928876809811371,1.7487275879826147
0,0,11,2.8014966582521765,0.5522720195029196,2.489851445383374
0,0,12,0.650805207947931,0.7287569696770033,1.7240670418725514
0,0,13,0.5487986760535719,3.9858387508657462,0.7029938399443303
0,0,14,1.023192027154288,3.0080834253038193,3.7459339221487222
0,0,15,1.8962115332729144,0.05746787158941835,0.8309080654922658
0,0,16,3.6702704672463167,2.5052598920149083,1.2122460262176609
0,0,17,3.176270670311538,3.734295717754147,1.4971012742897467
0,0,18,2.072078659910499,3.6773109500006296,3.389906998403971
0,0,19,2.576182900868776,1.0395051779655082,1.2608568230727748
0,0,20,1.42753128584781,0.05196732010170457,9.281413975426034e-05
0,0,21,0.5861883985438867,2.8425030389824624,0.2733324065617402
0,0,22,2.135114587680967,3.7947046409481118,1.5580333912941748
0,0,23,2.0275212292608176,1.3033720505112667,2.753950111163327
0,0,24,0.574919544912476,3.8778503833579627,1.9647380706327895
0,0,25,0.4366996018481344,2.027855487156951,3.161677862944327
0,0,26,3.5124294958664137,1.994957833636621,2.404096310077544
0,0,27,0.38459141618408665,2.6992348594108813,2.1036275987761597
0,0,28,1.5158979137121964,3.3884987491788654,2.31441737543895
0,0,29,3.4487973016631654,1.9020198879230392,1.8404632551457465
0,0,30,0.34086032291628054,2.064520979299683,3.6088020579310975
0,0,31,1.829633244405696,0.3340742169235442,2.0807758482520198
0,0,32,3.0643519351926596,1.886189088494861,3.884921191603757
0,0,33,0.19774196089453033,3.213458728292367,1.4876592951175742
0,0,34,1.6186729750959374,2.210953074205252,2.397660374878552
0,0,35,0.3219051918059974,0.011927782580376967,3.5229529212815276
0,0,36,0.9508354574864444,2.2676703019525335,2.050243593097021
0,0,37,0.4109453413918205,1.874823395187578,0.7376164594205434
0,0,38,0.41386232857008753,3.342545254533036,2.717864702072866
0,0,39,0.1311701988574323,3.0002469921149815,3.235173795737736
