xmsd,xstd,xdmsd,xdstd,ymsd,ystd,zmsd,zstd,t
0.0009514616610317504,0.00039600269977523435,0.0007282369570907792,0.00029754979264133466,0.0007382240877191016,0.0003140411106171453,0.0005833762944146053,0.00024997327812044466,0.0001
0.0023395174283631455,0.0013255237747189228,0.0014568358896855506,0.0007705895114947668,0.001487398798677284,0.0008150091936502342,0.0010711506149631226,0.000567143707405603,0.0002
0.004145035795809328,0.002849074051196349,0.0021763019528155156,0.0014118225168744797,0.002261647690558149,0.0015480230505954262,0.0014672489352387844,0.0008501007022921513,0.00030000000000000003
0.006375723020252956,0.0048270116354049136,0.0028866517129143487,0.0021508471094440996,0.0030346669884748927,0.0025187077135197388,0.0017810637681887722,0.0011867595153351178,0.0004
0.008849860863522083,0.0066090293628672005,0.003590791234047642,0.0026833985227440542,0.0038078966938619083,0.0034476832300695936,0.0021950297678389554,0.0014644162845228385,0.0005
0.01160820629965643,0.008553546097097072,0.004337784574292885,0.003327399664952661,0.004536338105941999,0.003919127565662487,0.0026099867514268534,0.0017387694766425514,0.0006000000000000001
0.014764526989114133,0.010888243889169988,0.005037044360735553,0.003924413614303661,0.005246400543392056,0.004536987185517592,0.003011528253495606,0.0020195328630700712,0.0007
0.018099189120145704,0.013095759690536371,0.005747992084721062,0.004479009569559477,0.005950014814231741,0.004815268595997497,0.003422729160834657,0.0022883517091830843,0.0008
0.021740114654212633,0.015260599287476225,0.0063952124787689454,0.004919391775312762,0.006719780923289201,0.005315760086449527,0.0038204612652282884,0.0025792529606507943,0.0009000000000000001
0.02557963971843803,0.017766531219344003,0.007056018874019625,0.005460880883840314,0.007544316319105854,0.006124126663222675,0.004211989557661634,0.002878130462756988,0.001
0.07855740850689022,0.04895890266993341,0.014124401860751095,0.011191425434134825,0.014517598779344465,0.01158472562168365,0.007767168989171587,0.0052239144641219384,0.002
0.15141306743575833,0.08888667357824744,0.021110036981097157,0.017101626599110405,0.02129604259085828,0.015613354196577677,0.010541510603998492,0.006952114514414827,0.003
0.24340701288783387,0.13944612504230625,0.02804867336390534,0.02428664863295315,0.02862878997948867,0.022538063369538508,0.012636367668936948,0.008371607654338394,0.004
0.35033383101473464,0.194396689950989,0.03523288894126726,0.029857872726759323,0.0359847285765388,0.029778529716358672,0.01439837574080959,0.009100106410537932,0.005
0.4736347641164763,0.25999356574372073,0.04236558297566979,0.03625764415419793,0.0431318552073802,0.037368525342025324,0.01571565380297574,0.009257629539969054,0.006
0.6111491447916536,0.3233998080410746,0.04900559702028834,0.041594581484151794,0.0493774060827236,0.04516485285650461,0.01631030283119831,0.009982356026822889,0.007
0.7710738990272253,0.4018689520213173,0.05584141181906499,0.049426446182842795,0.055434840252108666,0.05148129708372903,0.016766799789070284,0.009959399185368912,0.008
0.9349188501058244,0.4884319628590273,0.06422679708957975,0.057574348347943054,0.06245158790195117,0.05795480117002617,0.017381865965269954,0.010353584550476167,0.009000000000000001
1.1043566703919272,0.5516700326797255,0.07164163060275772,0.06579410841251554,0.06882202757431502,0.06526161112212289,0.017476869400725212,0.01053793196360203,0.01
3.7510745415209907,1.5829243949501954,0.13360194152106242,0.1414902474829593,0.12990121156045806,0.130697752087807,0.017882409582297788,0.010063644641872978,0.02
8.08897028133144,2.985625756101851,0.190710025710033,0.22298065165152248,0.2051086253191258,0.21229811814466376,0.017686012623697605,0.00924455938846863,0.030000000000000002
14.097333485511788,4.961152859071899,0.27008953796171775,0.30669067698921665,0.268945034956704,0.30274797585989255,0.018247633820297902,0.010811028020097618,0.04
21.280863275140405,6.943220307032594,0.3306797776224845,0.3719749122870368,0.34624328954547906,0.37676399374397535,0.0181122624377741,0.009923564680562625,0.05
30.72507843983284,9.506011904423577,0.4046551198999131,0.49000030437607106,0.5206840665646141,0.5372193555739059,0.017155215161635103,0.008556616902680196,0.060000000000000005
41.269717739169764,10.282701914717595,0.40887177792245466,0.5185762218011739,0.64722262459312,0.6295008719867784,0.014956049416710632,0.008116501868142776,0.07
54.31708743863132,13.607099723229995,0.36160466454107926,0.41162174079680147,0.6003589016956898,0.6031524612983201,0.015021132845942791,0.008225613242324814,0.08
63.46035311851531,15.11365111599519,0.46954326158927784,0.4994953461564911,0.8201448769951742,0.6845314104698268,0.018353661617175613,0.009183412295523217,0.09000000000000001
75.6177657382922,12.126297706598795,0.49794944422373005,0.4512673279474299,0.6572937362386536,0.5449139849780694,0.016656654206175518,0.012175469508018339,0.1
