component,t_min,t_max,slope,intercept,D,stdD
x,0.001,0.01,nan,nan,nan,nan
xd,0.001,0.01,1.0002744208181171,0.8516942217388137,3.553564691772782,0.052312547724091676
y,0.001,0.01,0.9945456995247177,0.8322685691810929,3.3981189217312497,0.04564857964421781
z,0.001,0.01,0.591370686562293,-0.5285014504312837,0.14807050375169312,0.017339797452472
