component,t_min,t_max,slope,intercept,D,stdD
x,0.001,0.01,nan,nan,nan,nan
xd,0.001,0.01,0.9815132869904302,0.7947438627813204,3.116835395089033,0.10550879285311739
y,0.001,0.01,1.0042243208943715,0.8884576325171547,3.8674760848684904,0.09550922033124246
z,0.001,0.01,0.6162312316867701,-0.4616161570130504,0.17272446148295992,0.019037591185539132
