xmsd,xstd,xdmsd,xdstd,ymsd,ystd,zmsd,zstd,t
0.0007348925882555112,0.0003047060174060771,0.0007317447733092635,0.0003031700738478826,0.0007321174774187076,0.00030262806774166123,0.0005862795114532767,0.0002498984003087419,0.0001
0.0014880498728652416,0.0008121560127608718,0.0014753778537235666,0.0007983896823291529,0.001471304864742476,0.0007998432410562243,0.0010741023935120504,0.0005540068956081738,0.0002
0.0022529848955797566,0.0015533400667191006,0.0022247093140478767,0.0015117016092340576,0.002204013122102849,0.0014711418645531236,0.0014751445982498202,0.0008484407364460353,0.00030000000000000003
0.003008875548277948,0.002443505558594504,0.002959380997379394,0.0023721442045043124,0.0029337941052470155,0.0022743755470873072,0.0017735336471532146,0.001161652551459274,0.0004
0.003731287456393019,0.0028391953500650447,0.003660309971208277,0.0027645572388631905,0.0036493621920059326,0.002814383551813356,0.002177767935098166,0.0014270218394293948,0.0005
0.004520451955675649,0.003523954899255832,0.0044251261489822455,0.0034317142659588697,0.004398455449604035,0.00339558526733947,0.002577991881365924,0.0017025308315542801,0.0006000000000000001
0.0053095009460356266,0.004205918700277123,0.005196530176354349,0.004112164305170493,0.005151979126425255,0.00405794628750961,0.0029726722362810438,0.0019819354449592966,0.0007
0.006066175410868097,0.0047992761437208094,0.005927387763658006,0.004684229186114898,0.005840842764443949,0.004567030430230479,0.003367432361175923,0.002259147044502859,0.0008
0.006852502939665833,0.005482248592733762,0.006660521098776356,0.0052673706906966366,0.006570993812858065,0.0052597398372192196,0.0037563911942222203,0.0025392010830811622,0.0009000000000000001
0.007580251777086761,0.005943077226569298,0.0073487775603295205,0.005684520859388126,0.007366527074398832,0.005928334049502892,0.0041707698206463195,0.0027859920249469843,0.001
0.015513621345227496,0.013465883217236258,0.01443124505481903,0.011882919033759305,0.014796917338084378,0.0117213730251093,0.007745539636848735,0.005069975471259252,0.002
0.023594089514362242,0.020887758237455853,0.021674982988818932,0.018428445866156957,0.02206682779734187,0.017867713514316406,0.010430179584101742,0.00682604306594467,0.003
0.03089473932402786,0.02701557748135717,0.02780397605695402,0.023684817978134976,0.029785468498925653,0.02607336556526667,0.01246681384695173,0.008346538862575597,0.004
0.0388934770776287,0.03529015762419619,0.034636344482521626,0.030324320431507266,0.037317110984294063,0.03267766103654924,0.014060238790671226,0.009266214541384515,0.005
0.04719715656860509,0.04336998427879071,0.041394868322671585,0.03737058454279557,0.04382614524536765,0.039442225750009656,0.015284060305826195,0.009953215380342223,0.006
0.056691165929880584,0.05379288929089891,0.049042877502574626,0.04566821026350437,0.05037559113017702,0.04473306082438898,0.016252605296121356,0.010371515242480317,0.007
0.0654074450442614,0.06157299417807748,0.05555355334987591,0.050996928615755416,0.05696199763148203,0.05229821129358751,0.016756809168703802,0.010520523938311674,0.008
0.07489496797504339,0.07055124833653388,0.06273993048640893,0.05813268769452014,0.06373246525329121,0.06075768792864808,0.017173160914966956,0.010547719184505401,0.009000000000000001
0.084150712493475,0.0806513782812866,0.06913604407896493,0.06601194596787252,0.07053823691212355,0.06824333914912267,0.01734622218112751,0.010402224552644578,0.01
0.19570415352372916,0.2270007713053671,0.14083692455313693,0.1600720969973088,0.1398852484829752,0.15573831647044087,0.0175751973993499,0.010999799851939013,0.02
0.3334163100126214,0.37714122379001724,0.2167762239086967,0.2470768161457773,0.24114627011238365,0.2661124032933901,0.01807677608645357,0.009503411384476006,0.030000000000000002
0.5493091595415348,0.6619551924730573,0.3131881754013673,0.37571245317436347,0.3366997973776496,0.41912758930053956,0.018075866611019332,0.009580751892561846,0.04
0.8090392504086689,0.9375206471576926,0.44585651194412784,0.5054115490142416,0.43868889192777294,0.5740969475380449,0.017608728700555625,0.01014714449384514,0.05
0.9406062478624294,0.9879854471441931,0.4431331211167404,0.5112440410663563,0.5061636754208629,0.6713662606433399,0.01792642413442255,0.009638112604863055,0.060000000000000005
1.007479446367076,1.0611004675471694,0.537123171600778,0.5159772651243202,0.5681169371516909,0.6545817586187509,0.016470567685449078,0.00920049303653291,0.07
1.3833216058570172,1.2359810116618746,0.5445871198202369,0.4388662367819991,0.724759292395982,0.8396909984533268,0.021831832035253275,0.014598583280013407,0.08
1.429136797687287,1.2433947816138748,0.6824913065967737,0.9813248110524936,0.9908162739312862,1.2209518812235782,0.012865737146993144,0.0077293500115952355,0.09000000000000001
2.442998597690276,1.5470073243326843,0.40922919722321893,0.5466276626035648,0.24146968004958158,0.28475668611393573,0.017753062476702,0.007867912016767004,0.1
