xmsd,xstd,xdmsd,xdstd,ymsd,ystd,zmsd,zstd,t
0.0007531205471173133,0.00031297319769937784,0.0007375353197612883,0.0003080601783336063,0.0007518566142029064,0.00032475991337999863,0.0005852910745951439,0.00025767456459343293,0.0001
0.0015366203138244766,0.0008531959376603556,0.001474285219253107,0.0008178761627510162,0.0015014022018153524,0.000871489971273753,0.001080983183658299,0.0005724466353996522,0.0002
0.002336128398918141,0.0016606200202089697,0.002196582776943289,0.0015485692761056432,0.0022553359915130993,0.0016847652611390368,0.0014670856980316517,0.0008588586199711564,0.00030000000000000003
0.00316704204979867,0.002724918358246568,0.002919863257776896,0.0025032770155272045,0.0030028892816772036,0.0026364981254200304,0.0017590245158262067,0.001164648946546279,0.0004
0.004002068765455314,0.0034659997232575693,0.0036341989863625103,0.0031108547114729853,0.003668561552356814,0.0029241735383236027,0.002166454402426155,0.001460762306762075,0.0005
0.0048775396364277674,0.004255243784394992,0.004373822314144072,0.003731909667651792,0.00435743626674525,0.0034755106076222986,0.0025976726019819986,0.0017527259766177655,0.0006000000000000001
0.00574667298189631,0.005228469686997107,0.005076720938271068,0.0044085220460624444,0.005078175576750736,0.003919921337484447,0.0030341766803229976,0.002042883255542994,0.0007
0.006615199750383242,0.005521926949687973,0.005745093634599558,0.004553147242337931,0.005706037268394824,0.004314675744672212,0.0034727489741933452,0.0023241535874138925,0.0008
0.007541980096701514,0.006246164578892595,0.00643033939950074,0.005037281547778365,0.006357812858467104,0.004764705087902107,0.0038573960000926593,0.002619743590752209,0.0009000000000000001
0.008423862354972837,0.006899197950548605,0.007122904798350619,0.005599964426157592,0.007098442071172818,0.005364561120249038,0.0042487774105686524,0.0028906799826475082,0.001
0.01925443725903297,0.0175118446185964,0.014648701482116219,0.012404451637690961,0.014242714084833442,0.011356788190694746,0.007710254200248356,0.005206400557351307,0.002
0.031308375260341935,0.029448041040638067,0.0217559070715522,0.019329833624698083,0.021476554367924682,0.018433609965383374,0.01045173761379739,0.007073712180473404,0.003
0.0434045482651226,0.039823291736268765,0.02817125699892002,0.023512805164239717,0.028220381057986025,0.022065855264970038,0.012559873277004247,0.008536160088398501,0.004
0.05629007161837357,0.0545875262035453,0.03502924832818835,0.03131832164992281,0.03548295986522398,0.029038030798661244,0.014116568416067711,0.009380067854479607,0.005
0.0692791587404951,0.06362239840053395,0.040848686253164956,0.03542559086172844,0.043043801248363975,0.035032808466757465,0.015085190365630366,0.009268172870769465,0.006
0.08466580801810425,0.08064214486551687,0.046630882697730594,0.04124753786275985,0.050268738694113725,0.04273098125864312,0.01578334329779736,0.009507685081529332,0.007
0.09963082567020178,0.09553101584584568,0.052598898322487514,0.04739903862827221,0.05709831946094305,0.05143938315208696,0.01600963407857746,0.009745742643848936,0.008
0.11739681932208731,0.11517797362854057,0.05881882585651925,0.05557485198853349,0.06510465101354625,0.06053801837015942,0.016187529254632797,0.009852571307540652,0.009000000000000001
0.13824403554225737,0.14008156533221394,0.06489708235458923,0.06371310146443004,0.07318908982167281,0.06819252012924254,0.016942554990051484,0.009894366810409711,0.01
0.3585831249842242,0.33575051284477453,0.126243291873259,0.13639193911825032,0.14724296164094147,0.16558656560441326,0.01816088776268492,0.010140072731847617,0.02
0.686705418761833,0.6066251580747604,0.18654104444257938,0.19806877835725856,0.23629133815348946,0.28624887901879237,0.017979906042081266,0.010504625187285989,0.030000000000000002
0.9635934857194455,0.8147904721775541,0.21764117807957992,0.22174290779138503,0.2975448450362932,0.3672910095798205,0.018220289045138647,0.010227825058777009,0.04
1.3906031655869708,1.1625495432525985,0.2852174698781239,0.2746458357905076,0.40124077346927656,0.5367784308514569,0.015584116207245464,0.009484110451344325,0.05
1.720292892668589,1.4231779713089447,0.38974561116827966,0.4452420941085024,0.407065795115788,0.4851215674387599,0.01766016655774323,0.01047230594701825,0.060000000000000005
2.29936649729481,1.7355233872040559,0.3938370136613289,0.38399626886679783,0.5114114939293067,0.5403802472318376,0.017533913093085815,0.008009878141188127,0.07
3.450059850744039,2.44028552287808,0.46563380237947916,0.4242196449303585,0.4415985018596852,0.47242316520379773,0.015172577811545131,0.008996061876919377,0.08
4.2691850182498845,2.8829008312714506,0.530990789511048,0.579767733365202,0.5148097740556723,0.35035836071637005,0.014232063064480481,0.005471081985787234,0.09000000000000001
6.387282687742816,3.5518194471275066,0.6214991259757915,0.5228692428893702,0.6372838818168106,0.38905446998255394,0.016305120030291727,0.008408122053939367,0.1
