component,t_min,t_max,slope,intercept,D,stdD
x,0.001,0.01,nan,nan,nan,nan
xd,0.001,0.01,0.9949486283968113,0.8439259719710657,3.4905669821607614,0.0640923846720903
y,0.001,0.01,0.9904567423863412,0.8323822030669331,3.399008161625848,0.035263398362886895
z,0.001,0.01,0.6223364381533116,-0.4433069788414515,0.18016192995097277,0.018856287905875617
